,date,like,view,tag,content
53,2022-06-03,좋아요 7개,0,"['#2022년', '#6월', '#목요일', '#cgv영등포', '#4관', '#영화', '#범죄도시2', '#무대인사', '#범죄', '#한국', '#손석구', '#마동석', '#최귀화', '#박지환', '#허동원', '#하준', '#정재광', '#남문철', '#박지영', '#이주원', '#음문석', '#김찬형', '#영화스타그램', '#무비스타그램', '#해야', '#일상', '#220602']","2022.06.02목요일퇴근후영화 범죄도시2 무대인사열 광클 해준 지인들 쌩유행한번쯤은 보고싶었던 구찌보다 구씨, 강해상 손석구배우 가까이 자세히 오래 많이 봤어.^^@sonsukku저 시선끝에 내가 있었으면..네..맞아요..그 내가가 나예요오~!!!!!!!으하하..눈인사하고 손안녕도 받은 나ㅋ범죄도시2 천만 가즈아~곧..입니다.그리고 자글자글 구여워서 엄청 돌려본 영상""새달 6월은 이렇게 시작하는기야""..@aboentertainment763만 돌파했고, N차 관람은 계속된다#2022년 #6월 #목요일 #cgv영등포 #4관 #영화 #범죄도시2 #무대인사 #범죄 #한국 #손석구 #마동석 #최귀화 #박지환 #허동원 #하준 #정재광 #남문철 #박지영 #이주원 #음문석 #김찬형 #영화스타그램 #무비스타그램 #해야 #일상 #220602"
54,2022-06-03,좋아요 4개,0,"['#범죄도시2', '#만경관', '#롯데시네마']",뒷북이지만 범죄도시 넘 재밌었다...마블리... 워너비💕...#범죄도시2 #만경관 #롯데시네마
55,2022-06-03,좋아요 48개,0,"['#범죄도시', '#범죄도시2', '#나의해방일지', '#손석구', '#구씨', '#마동석', '#멋있다', '#매력', '#빠져들어', '#말하는센스', '#롱런', '#짤', '#유머', '#유머스타그램', '#유머저장소', '#예능', '#좋반', '#좋아요반사', '#좋아요', '#선팔하면맞팔', '#선팔', '#맞팔', '#팔로우', '#꿀잼', '#짤방', '#웃긴영상', '#웃긴짤']",오늘 하루 행복해질 수 있는 마법 @@lululala.lime너무머이쩌.....#범죄도시#범죄도시2#나의해방일지#손석구#구씨#마동석#멋있다#매력#빠져들어#말하는센스#롱런#짤#유머#유머스타그램#유머저장소#예능#좋반#좋아요반사#좋아요#선팔하면맞팔#선팔#맞팔#팔로우#꿀잼#짤방#웃긴영상#웃긴짤
56,2022-06-03,좋아요 1개,0,"['#범죄도시2꿀잼😆', '#범죄도시2천만가자', '#범죄도시2']",쥬라기 월드 보단 범죄도시2 한...7번 봤나..재밌는걸 어떡해#범죄도시2꿀잼😆 #범죄도시2천만가자 #범죄도시2
57,2022-06-03,좋아요 6개,0,['#범죄도시2'],울애기는 얼집가서 잘 놀고 있고엄마랑 아빠는 2년만에영화관 데이트를 즐겼둥ㅋㅋㅋ다 본 후 맛난 초밥까지 냠냠!!#범죄도시2 졸잼이다ㅋㅋㅋ진짜 신나서 웃고 박수치고 넘 재밌었당!2년만에 영화관에서 영화 본 것도 좋은데그게 범죄도시2 라서 더 좋았당~!!키키!!
58,2022-06-03,좋아요 26개,0,"['#기분좋은날엔브이', '#범죄도시2', '#마동석', '#마블리', '#혼영', '#자유부인', '#힐링타임', '#영화추천']",.히히히범죄도시2 꼭보세영😍😍😍진짜 마블리 너무죠아 ㅎㅎㅎㅎㅎㅎ💬이게 뭐라고 영화 한번을 보러 못나왔었는지이제 가끔 한번씩 문화생활도 즐겨야겠어요엄마들 화이팅♥️#기분좋은날엔브이 ✌🏻✌🏻✌🏻#범죄도시2 #마동석 #마블리 #혼영 #자유부인 #힐링타임 #영화추천
59,2022-06-03,좋아요 1개,0,"['#cgv', '#영화', '#범죄도시2']",#cgv #영화 #범죄도시2 코로나 이후 오랜만에 영화관에서 영화 한편 보니 너무 좋다 ^^
60,2022-06-03,여러 명,0,"['#원더현우샵', '#영화관데이트', '#범죄도시2']",🎥 🍿 나도 왔다 ㅋㅋ새 나오는 웃음을 감출 수가 없네요 @khw1230 #원더현우샵 써머 원피스 입고 총총💜#영화관데이트 #범죄도시2
61,2022-06-03,좋아요 16개,0,"['#손석구', '#범죄도시2', '#강해상', '#소스윗', '#현웃터짐', '#유머스타그램', '#개꿀잼', '#재미스타그램', '#아하하', '#재밌다', '#힐링글', '#웃으면복이와요', '#꿀잼', '#존잼', '#재미난다', '#핵잼', '#웃겨', '#ㅋㅋㅋ']",팬들한테 몰래하트날리는 석구씨ㅈㄴ스윗해♥.....#손석구 #범죄도시2 #강해상 #소스윗#현웃터짐 #유머스타그램#개꿀잼 #재미스타그램 #아하하 #재밌다 #힐링글 #웃으면복이와요 #꿀잼 #존잼 #재미난다 #핵잼 #웃겨 #ㅋㅋㅋ
62,2022-06-03,좋아요 34개,0,[],영화보고 애들 하원까지 시간이 떠서 폴바셋아포카토 먹으려했는데 둘다 지갑을 안가져와 쓸쓸히 집에 온 슬픈 사연..
63,2022-06-03,좋아요 14개,0,['#범죄도시2'],친정엄마랑 #범죄도시2 보고맛점하고 아이 하원시키러 총총총날이 너무 더워서🥵오늘 따라 더 싱그러워 보였던🍋
64,2022-06-03,좋아요 3개,0,"['#범죄도시2', '#마동석', '#최귀화', '#손석구', '#범죄도시', '#영화범죄도시', '#영화범죄도시2', '#필리핀연쇄납치사건', '#일상스타그램', '#선팔맞팔', '#맞팔해요', '#맞팔환영', '#맞팔좋아요', '#맞팔100', '#맞팔']",#범죄도시2 #마동석 #최귀화 #손석구 #범죄도시 #영화범죄도시 #영화범죄도시2 #필리핀연쇄납치사건 #일상스타그램 #선팔맞팔 #맞팔해요 #맞팔환영 #맞팔좋아요 #맞팔100 #맞팔
65,2022-06-03,좋아요 71개,0,"['#손석구', '#손석구배우님', '#손석구배우', '#두시탈출컬투쇼', '#범죄도시2', '#강해상', '#나의해방일지', '#구씨', '#연애빠진로맨스', '#연애스타일', '#연애', '#연애스타그램']",-“요즘 자꾸 신경쓰이는 남자”손석구의 연애스타일과 주량은 어떨까?#손석구 #손석구배우님 #손석구배우 #두시탈출컬투쇼 #범죄도시2 #강해상 #나의해방일지 #구씨 #연애빠진로맨스 #연애스타일 #연애 #연애스타그램
66,2022-06-03,좋아요 1개,0,"['#범죄도시2', '#2회차', '#재관람']",#범죄도시2 #2회차 #재관람 완료!!1000만 가자!!!
67,2022-06-03,좋아요 253개,0,"['#범죄도시2', '#손석구', '#강해상', '#포스터', '#영화', '#무비', '#영화스타그램', '#무비스타그램', '#이슈', '#영화추천']",범죄도시2 '강해상' NEW 포스터...#범죄도시2 #손석구 #강해상 #포스터 #영화 #무비 #영화스타그램 #무비스타그램 #이슈 #영화추천
68,2022-06-03,좋아요 13개,0,"['#범죄도시2', '#2번째관람', '#지인언니와함께번개영화이번엔', '#손석구연기']",#범죄도시2#2번째관람#지인언니와함께번개영화이번엔#손석구연기 디테일하게 볼려고재관람 ~~!!맨처음 봤을때잔인한 장면 때문에손석구 배우 잘 몰랐는데2번째 보니 연기력에 소름 돋는군~~!!우짜징???또 보고 싶네 ㅋㅋㅋㅋ 맨처음 본것 처럼 빵빵 터지게 봄 ㅋㅋㅋㅋ
69,2022-06-03,좋아요 4개,0,"['#범죄도시2', '#무료영화', '#2번더남았다ㅋㅋㅡㅡㅡ', '#하버캠프', '#하버캠프용인처인', '#자동차썬팅', '#자동차틴팅', '#독일필름', '#용인썬팅', '#블랙박스', '#처인구썬팅', '#PPF필름', '#유리막코팅', '#광택', '#신차패키지', '#열차단필름', '#용인틴팅', '#비금속필름', '#프라이버시썬팅', '#프리미엄필름', '#프리미엄썬팅', '#피부보호썬팅', '#이천썬팅', '#여주썬팅', '#안성썬팅']",**하버캠프 용인처인캠프**The only window film made in GERMANY이런게있는줄 몰랐네ㅎ꽁짜 영화관람ㅎㅎ영화두 잼나고 ㅎㅎ#범죄도시2#무료영화#2번더남았다ㅋㅋㅡㅡㅡ#하버캠프#하버캠프용인처인#자동차썬팅#자동차틴팅#독일필름#용인썬팅#블랙박스#처인구썬팅#PPF필름#유리막코팅#광택#신차패키지#열차단필름#용인틴팅#비금속필름 #프라이버시썬팅#프리미엄필름#프리미엄썬팅#피부보호썬팅#이천썬팅#여주썬팅#안성썬팅
70,2022-06-03,좋아요 4개,0,"['#인스타', '#첫사진', '#어색하다', '#범죄도시2', '#오랜만에', '#화장', '#사진찍고싶은날', '#화이팅파이팅']",#인스타#첫사진#어색하다#범죄도시2#오랜만에#화장#사진찍고싶은날#화이팅파이팅
71,2022-06-03,0,조회 96회,"['#범죄도시2', '#내가한국온다고했지', '#너_마음_납치된거야', '#이상용감독님', '#손석구', '#마동석', '#최귀화', '#음문석', '#김찬형', '#박지환', '#허동원', '#하준', '#정재광', '#구씨', '#영화추천', '#천만갑시다', '#sonsukku', '#무대인사1000만']",#범죄도시2 #내가한국온다고했지#너_마음_납치된거야 #이상용감독님#손석구#마동석#최귀화#음문석#김찬형#박지환#허동원#하준#정재광#구씨 #영화추천#천만갑시다#sonsukku#무대인사1000만 2000만 기원합니다^^ ❤설렘주의보❤[범죄도시2 무대인사 -2022.06.02] CGV 홍대구씨를 연기한 강해상입니다^^배우님 덕분에 행복해요♡♡♡고맙습니다 오늘도 전 추앙합니다^^
72,2022-06-03,좋아요 3개,0,"['#혼영🎬', '#범죄도시2']",소소한 취미생활#혼영🎬 #범죄도시2
73,2022-06-03,여러 명,0,"['#범죄도시2', '#영화', '#한국영화', '#롯데시네마', '#마동석👍']",범죄도시2!무조건 추천 추천~~~!시간가는지 모르게 너무 잘봤습니당ㅎ마동석형님 짱짱!ㅋㅋ#범죄도시2 #영화 #한국영화 #롯데시네마 #마동석👍
74,2022-06-03,좋아요 7개,0,"['#영화', '#범죄도시2', '#후기', '#리뷰', '#취미', '#출근전여유']",출근 전 영화때리기진짜 재미있는데 쵸큼 잔인함개인적으로 원보다 투가 좀더 잔인한거 같은데 기분탓인가요 ㅋㅋ근데 더 코믹요소가 들가있는거 같기도 ㅋㅋ 쨌던 재미짐 👍👍마동석 배우님의 특유의 액션과 코믹요소가 너무 무겁지도 가볍지도 않고 참 좋음🤭조연 배우님들 마저도 소재가 무거운데 극이 너무 무겁지 않게 만들어주시는게 좋음 ㅎ솔직히 이번편은 박지환 배우님이 감초역할 제대로 해주심☺️아니 근데 하준배우님 캐릭터 원에서의 캐릭터스토리 자체가 형사로서 성장통같았는데 이번편에서 진짜 성장한 모습으로 그려져 나와서 내새꾸 큰것마냥 뿌듯하고 내가 막 그러냐 왜 ㅋㅋㅋ🥰#영화 #범죄도시2 #후기 #리뷰 #취미 #출근전여유
75,2022-06-03,좋아요 18개,0,"['#롯데시네마', '#안양역', '#범죄도시2', '#직장인휴일', '#프리드라이프', '#종로지점', '#지점장', '#상조', '#상조문의', '#입사문의☎️', '#선팔맞팔']",오랜만에 데이트~!! 쉬는날🤪 아이들보내고영화보기 밥먹기 싸돌아다니기#롯데시네마 #안양역 #범죄도시2 #직장인휴일 #프리드라이프#종로지점 #지점장 #상조#상조문의 #입사문의☎️ #선팔맞팔
76,2022-06-03,좋아요 3개,0,"['#하이몬드', '#치아바타샌드위치🌯노티드', '#범죄도시2']",맛있네.  하이몬드 범죄도시2보기전 빵순이 빵먹기#하이몬드#치아바타샌드위치🌯노티드 따라한 하이몬드 도넛뷰는 돼지껍데기 #범죄도시2  영화관은 진짜 1년만이야
